date,open,close,high,low,volume
2023-01-03,37.861,37.681,38.291,37.351,257565.000
2023-01-04,37.871,38.011,38.231,37.651,257668.000
2023-01-05,38.241,38.791,39.111,37.951,408464.000
2023-01-06,38.941,38.551,39.081,38.451,200107.000
2023-01-09,38.521,38.791,39.041,38.011,328360.000
2023-01-10,38.771,38.621,39.141,38.541,374508.000
2023-01-11,38.621,37.691,38.891,37.571,531573.000
2023-01-12,37.711,37.031,37.781,36.981,495277.000
2023-01-13,37.691,38.511,38.751,37.081,708163.000
2023-01-16,38.511,42.371,42.441,38.511,1378805.000
2023-01-17,42.031,41.421,42.571,41.121,844312.000
2023-01-18,41.521,40.811,41.901,40.571,541313.000
2023-01-19,41.401,42.881,44.011,40.901,1094864.000
2023-01-20,42.921,42.781,44.121,42.631,532465.000
2023-01-30,43.141,42.491,43.681,42.331,496623.000
2023-01-31,42.511,41.451,43.041,41.381,409176.000
2023-02-01,41.471,41.881,41.941,41.221,396414.000
2023-02-02,41.941,42.241,43.341,41.691,653487.000
2023-02-03,42.311,42.041,42.831,41.961,498018.000
2023-02-06,42.041,41.731,42.211,41.141,379173.000
2023-02-07,41.631,41.341,42.421,41.081,307633.000
2023-02-08,41.431,42.201,42.741,41.391,423949.000
2023-02-09,42.061,42.891,43.111,41.911,373022.000
2023-02-10,42.881,42.841,43.201,42.471,279700.000
2023-02-13,43.551,44.211,45.231,43.551,652677.000
2023-02-14,44.171,44.461,44.641,43.781,329763.000
2023-02-15,44.441,44.051,44.771,43.691,269470.000
2023-02-16,44.041,43.031,44.311,42.551,458815.000
2023-02-17,42.941,43.411,44.141,42.621,395716.000
2023-02-20,43.401,44.461,44.691,42.931,459923.000
2023-02-21,44.261,43.741,44.681,43.541,337434.000
2023-02-22,43.641,43.351,44.041,43.241,222477.000
2023-02-23,43.261,42.761,43.561,42.421,337062.000
2023-02-24,42.631,42.431,43.431,42.331,238178.000
2023-02-27,42.141,42.371,42.641,41.841,270401.000
2023-02-28,42.471,42.741,43.671,42.161,328495.000
2023-03-01,42.671,43.011,43.381,42.421,265213.000
2023-03-02,42.731,42.431,43.011,42.121,230686.000
2023-03-03,42.401,42.641,43.221,42.341,190156.000
2023-03-06,42.741,42.661,43.001,42.321,210869.000
2023-03-07,42.641,41.361,43.041,41.351,334387.000
2023-03-08,41.351,41.201,41.571,40.831,270510.000
2023-03-09,41.171,40.971,41.471,40.941,176774.000
2023-03-10,40.601,41.101,41.451,40.571,208268.000
2023-03-13,40.771,40.661,41.141,40.451,254689.000
2023-03-14,40.661,40.721,41.701,40.521,331395.000
2023-03-15,41.091,40.621,41.511,40.501,212096.000
2023-03-16,40.391,40.431,41.191,40.301,184248.000
2023-03-17,40.791,40.061,41.031,39.941,387716.000
2023-03-20,40.121,39.641,40.331,39.331,335133.000
2023-03-21,39.591,40.841,41.021,39.591,333897.000
2023-03-22,40.851,41.871,42.001,40.851,331144.000
2023-03-23,41.831,41.911,42.201,41.531,262656.000
2023-03-24,41.841,40.941,42.111,40.871,259856.000
2023-03-27,40.941,42.521,42.541,40.141,469301.000
2023-03-28,42.331,42.241,42.441,41.561,261611.000
2023-03-29,42.591,42.401,42.701,42.021,183576.000
2023-03-30,42.401,42.251,42.491,41.751,206747.000
2023-03-31,42.251,42.061,42.681,41.741,220698.000
2023-04-03,41.891,41.801,42.421,41.641,244114.000
2023-04-04,41.801,42.391,42.401,41.341,338527.000
2023-04-06,42.441,42.021,42.491,41.541,280353.000
2023-04-07,42.031,44.391,44.541,42.031,670009.000
2023-04-10,44.391,45.511,45.931,44.141,662720.000
2023-04-11,45.441,45.251,45.901,44.961,327026.000
2023-04-12,45.341,44.871,46.591,44.801,336009.000
2023-04-13,44.871,46.591,46.991,44.711,646011.000
2023-04-14,47.181,46.961,47.871,46.241,604880.000
2023-04-17,47.041,48.531,49.541,47.041,803312.000
2023-04-18,48.541,48.171,48.941,47.621,376306.000
2023-04-19,48.041,47.901,48.441,47.651,267820.000
2023-04-20,47.741,47.041,48.151,46.771,414766.000
2023-04-21,47.041,46.561,47.591,46.561,408355.000
2023-04-24,46.571,47.591,48.561,46.571,603105.000
2023-04-25,47.591,47.221,48.201,46.521,438672.000
2023-04-26,47.241,47.441,48.011,46.261,360255.000
2023-04-27,47.421,47.441,47.991,46.651,400538.000
2023-04-28,47.441,47.891,48.191,47.071,282983.000
2023-05-04,47.791,48.511,49.141,47.721,432507.000
2023-05-05,48.621,46.711,48.721,46.321,422608.000
2023-05-08,46.711,45.751,46.841,45.311,468052.000
2023-05-09,45.631,45.171,46.061,44.941,289536.000
2023-05-10,45.241,45.591,45.941,44.891,251665.000
2023-05-11,45.591,45.671,47.231,45.451,286218.000
2023-05-12,45.681,44.751,46.111,44.611,363767.000
2023-05-15,44.751,46.681,46.851,44.741,326025.000
2023-05-16,48.341,48.371,48.951,47.941,588846.000
2023-05-17,48.491,47.741,48.591,47.401,271331.000
2023-05-18,47.741,47.261,48.111,47.021,229022.000
2023-05-19,47.321,48.371,48.991,47.321,341093.000
2023-05-22,48.421,47.941,49.441,47.571,291330.000
2023-05-23,47.991,48.341,49.141,47.981,328983.000
2023-05-24,48.341,47.201,48.421,46.871,287120.000
2023-05-25,46.911,47.301,47.491,46.421,183705.000
2023-05-26,47.191,47.641,48.291,47.131,174986.000
2023-05-29,47.691,47.541,48.271,47.071,218625.000
2023-05-30,47.541,47.531,48.441,46.541,347627.000
2023-05-31,47.741,44.791,47.871,44.251,859349.000
2023-06-01,44.801,45.171,46.131,44.691,458276.000
2023-06-02,45.421,45.271,46.081,45.111,286950.000
2023-06-05,45.441,45.741,46.141,45.281,270911.000
2023-06-06,45.781,45.551,46.411,45.391,267820.000
2023-06-07,45.541,44.741,45.931,44.591,248218.000
2023-06-08,44.901,44.991,45.081,44.251,223284.000
2023-06-09,44.741,45.191,45.551,44.511,314957.000
2023-06-12,45.031,44.101,45.031,43.101,499494.000
2023-06-13,44.011,44.401,44.741,43.671,196180.000
2023-06-14,44.501,45.401,45.781,44.221,411556.000
2023-06-15,45.801,46.331,46.391,45.441,317301.000
2023-06-16,46.201,46.901,47.881,46.101,380344.000
2023-06-19,46.901,46.281,47.281,46.031,218127.000
2023-06-20,46.371,46.181,46.891,46.101,148967.000
2023-06-21,45.911,45.801,46.571,45.801,170863.000
2023-06-26,45.681,45.761,46.481,45.081,214000.000
2023-06-27,45.581,45.351,46.201,45.231,189784.000
2023-06-28,45.531,45.601,45.801,45.111,215203.000
2023-06-29,45.551,46.451,46.841,45.501,302950.000
2023-06-30,46.301,47.301,47.881,46.261,283562.000
2023-07-03,47.321,46.761,47.321,46.431,203984.000
2023-07-04,46.701,48.251,49.901,45.911,841571.000
2023-07-05,48.251,48.591,49.251,47.931,461083.000
2023-07-06,48.561,47.511,48.601,47.291,252248.000
2023-07-07,47.401,47.791,47.991,47.211,172268.000
2023-07-10,47.781,47.011,47.891,46.761,216794.000
2023-07-11,47.401,47.641,47.961,46.611,242128.000
2023-07-12,47.641,47.171,47.801,46.951,146811.000
2023-07-13,47.341,47.411,47.601,46.901,246040.000
2023-07-14,47.381,46.921,47.391,46.901,134610.000
2023-07-17,46.921,46.601,46.921,46.131,213944.000
2023-07-18,46.801,46.601,47.251,46.401,121135.000
2023-07-19,46.401,46.091,46.771,45.951,194150.000
2023-07-20,46.391,45.361,46.801,45.271,180988.000
2023-07-21,45.431,45.331,45.701,45.051,209766.000
2023-07-24,45.301,46.691,47.401,45.291,473988.000
2023-07-25,47.151,47.161,47.301,46.531,249098.000
2023-07-26,47.171,47.481,47.561,46.951,167788.000
2023-07-27,47.731,47.511,47.871,47.201,162255.000
2023-07-28,47.281,48.451,48.601,46.991,377573.000
2023-07-31,48.441,43.981,48.731,43.621,1359242.000
2023-08-01,43.711,42.781,43.711,41.701,1344001.000
2023-08-02,42.651,41.681,43.391,41.461,934819.000
2023-08-03,41.251,41.671,42.291,40.581,791888.000
2023-08-04,41.951,40.471,42.071,40.401,1064609.000
2023-08-07,40.061,38.531,40.061,37.961,1347893.000
2023-08-08,38.001,39.541,40.091,37.981,974177.000
2023-08-09,39.301,39.611,40.071,39.201,573863.000
2023-08-10,39.611,39.301,39.781,39.001,355953.000
2023-08-11,39.361,38.601,39.631,38.601,337898.000
2023-08-14,38.231,40.021,40.191,38.201,602790.000
2023-08-15,40.011,39.901,40.501,39.381,426582.000
2023-08-16,39.791,40.411,41.311,39.651,630409.000
2023-08-17,40.121,39.971,40.261,39.501,395599.000
2023-08-18,39.901,39.351,39.981,39.201,261862.000
2023-08-21,37.361,38.201,38.731,36.501,607921.000
2023-08-22,38.551,38.551,38.801,37.731,435386.000
2023-08-23,38.501,38.101,38.711,38.081,258171.000
2023-08-24,38.111,39.841,40.281,37.801,477737.000
2023-08-25,39.661,40.121,40.731,39.561,430306.000
2023-08-28,42.391,41.321,42.751,40.921,722102.000
2023-08-29,41.311,41.651,41.891,41.001,376997.000
2023-08-30,41.901,41.551,41.901,41.401,253504.000
2023-08-31,41.551,41.181,41.641,41.101,259633.000
2023-09-01,41.251,40.931,41.421,40.831,165313.000
2023-09-04,41.331,40.601,41.371,40.501,324688.000
2023-09-05,40.611,40.611,40.981,40.491,202444.000
2023-09-06,40.411,40.131,40.591,40.001,211816.000
2023-09-07,40.281,39.691,40.281,39.331,286649.000
2023-09-08,39.651,39.981,40.011,39.401,178497.000
2023-09-11,40.151,42.401,42.561,40.151,757357.000
2023-09-12,42.211,42.311,42.581,42.081,262043.000
2023-09-13,42.251,41.601,42.481,41.411,223141.000
2023-09-14,41.731,41.991,42.191,41.451,230089.000
2023-09-15,42.101,43.001,43.351,41.751,669591.000
2023-09-18,43.011,43.761,44.351,42.991,478974.000
2023-09-19,43.761,44.031,44.221,43.491,257266.000
2023-09-20,43.901,43.751,44.001,43.281,218104.000
2023-09-21,43.751,43.291,43.791,43.181,192238.000
2023-09-22,43.371,43.461,43.541,42.801,282408.000
2023-09-25,43.501,44.251,44.451,43.111,407403.000
2023-09-26,44.201,44.101,44.481,43.551,273018.000
2023-09-27,44.081,44.711,45.081,44.051,357243.000
2023-09-28,44.951,44.341,45.281,44.161,251307.000
2023-10-09,44.291,44.161,44.601,43.521,331422.000
2023-10-10,44.321,43.771,44.391,43.681,166019.000
2023-10-11,44.101,44.451,44.971,44.101,329577.000
2023-10-12,45.001,44.351,45.051,44.101,244608.000
2023-10-13,43.981,44.051,44.521,43.771,187513.000
2023-10-16,44.221,43.631,44.521,43.501,214400.000
2023-10-17,43.631,43.871,43.931,43.001,214293.000
2023-10-18,43.881,43.221,43.891,43.161,157011.000
