date,open,close,high,low,volume
2023-01-03,29.354,29.854,30.054,28.804,606266.000
2023-01-04,30.054,30.924,31.104,29.804,836454.000
2023-01-05,31.264,30.774,31.544,30.674,619085.000
2023-01-06,30.934,30.654,31.204,30.164,590007.000
2023-01-09,30.684,31.074,31.374,30.684,499149.000
2023-01-10,31.054,30.524,31.074,30.434,541972.000
2023-01-11,30.654,31.194,31.454,30.414,541707.000
2023-01-12,31.384,31.324,31.424,31.004,304349.000
2023-01-13,31.344,31.934,31.934,31.244,463767.000
2023-01-16,32.274,32.744,33.414,32.074,880469.000
2023-01-17,32.724,32.954,33.214,32.554,432047.000
2023-01-18,32.924,32.654,33.224,32.504,294675.000
2023-01-19,32.474,32.924,33.074,32.194,472490.000
2023-01-20,33.254,33.324,33.374,32.954,413403.000
2023-01-30,34.824,34.304,34.904,34.124,1007007.000
2023-01-31,34.624,33.484,34.624,33.484,642312.000
2023-02-01,33.914,32.814,33.964,32.224,916791.000
2023-02-02,32.974,32.304,33.024,31.824,727233.000
2023-02-03,32.064,31.574,32.064,31.284,638164.000
2023-02-06,30.994,30.624,31.014,30.154,731001.000
2023-02-07,30.774,30.684,31.214,30.434,426571.000
2023-02-08,30.774,30.764,31.194,30.634,317065.000
2023-02-09,30.694,30.764,31.164,30.594,498175.000
2023-02-10,30.574,30.434,30.664,30.174,411026.000
2023-02-13,30.174,29.994,30.254,29.344,825181.000
2023-02-14,30.054,30.274,30.334,29.784,486077.000
2023-02-15,30.274,29.444,30.364,29.274,771048.000
2023-02-16,29.474,29.544,30.124,29.294,654152.000
2023-02-17,29.424,28.984,29.654,28.954,575813.000
2023-02-20,29.094,30.764,30.784,29.094,1080228.000
2023-02-21,30.704,30.964,31.094,30.404,530465.000
2023-02-22,30.734,30.434,30.874,30.414,383091.000
2023-02-23,30.434,30.544,31.044,30.434,370638.000
2023-02-24,30.444,29.734,30.524,29.674,533690.000
2023-02-27,29.544,29.434,29.854,29.364,449334.000
2023-02-28,29.444,29.584,29.754,29.124,378226.000
2023-03-01,29.524,30.524,30.614,29.474,571194.000
2023-03-02,30.314,30.524,30.774,30.044,349070.000
2023-03-03,30.774,30.524,31.044,30.174,357114.000
2023-03-06,30.294,29.274,30.504,29.184,810519.000
2023-03-07,29.164,28.834,29.754,28.684,737411.000
2023-03-08,28.524,28.274,28.594,28.074,616584.000
2023-03-09,28.274,27.854,28.354,27.774,539996.000
2023-03-10,27.324,27.304,27.934,27.224,558454.000
2023-03-13,27.194,27.324,27.654,26.984,584205.000
2023-03-14,26.954,26.854,27.204,26.614,626668.000
2023-03-15,27.424,27.154,27.984,27.154,676384.000
2023-03-16,26.774,26.924,27.424,26.484,403895.000
2023-03-17,27.294,26.634,27.644,26.294,832716.000
2023-03-20,26.714,26.394,27.184,26.294,520725.000
2023-03-21,26.484,26.504,26.774,26.284,367475.000
2023-03-22,26.794,26.814,27.004,26.554,459867.000
2023-03-23,26.674,27.474,27.614,26.594,542146.000
2023-03-24,27.254,26.704,27.254,26.504,678718.000
