date,open,close,high,low,volume
2023-01-03,17.595,17.715,17.785,17.175,692944.000
2023-01-04,17.755,17.965,18.015,17.715,492645.000
2023-01-05,18.115,18.255,18.365,18.025,780586.000
2023-01-06,18.155,18.225,18.325,18.065,503337.000
2023-01-09,18.365,18.465,18.715,18.315,786134.000
2023-01-10,18.415,18.255,18.575,18.225,479810.000
2023-01-11,18.315,18.155,18.395,18.005,552668.000
2023-01-12,18.205,18.275,18.285,18.035,387843.000
2023-01-13,18.275,18.565,18.565,18.085,828639.000
2023-01-16,18.595,19.355,19.805,18.475,2366243.000
2023-01-17,19.185,19.445,19.485,19.115,807047.000
2023-01-18,19.325,19.195,19.515,19.195,593369.000
2023-01-19,19.145,19.435,19.445,19.075,678180.000
2023-01-20,19.455,19.485,19.515,19.165,710780.000
2023-01-30,20.065,19.425,20.105,19.275,1278232.000
2023-01-31,19.545,19.225,19.645,19.105,829063.000
2023-02-01,19.305,19.905,19.995,19.225,1005566.000
2023-02-02,20.285,19.245,20.305,19.215,1943692.000
2023-02-03,19.115,19.175,19.195,18.875,819820.000
2023-02-06,18.975,18.665,18.975,18.615,788730.000
2023-02-07,18.765,18.715,18.845,18.645,416286.000
2023-02-08,18.725,18.685,18.795,18.625,307495.000
2023-02-09,18.655,18.985,18.985,18.615,505692.000
2023-02-10,18.915,18.775,18.915,18.695,389886.000
2023-02-13,18.635,18.745,18.845,18.565,470592.000
2023-02-14,18.815,18.735,18.835,18.575,378261.000
2023-02-15,18.705,18.565,18.775,18.525,441502.000
2023-02-16,18.585,18.385,18.865,18.215,754672.000
2023-02-17,18.365,18.055,18.465,18.045,534649.000
2023-02-20,18.285,18.855,18.915,18.225,965455.000
2023-02-21,18.745,18.905,18.985,18.705,717272.000
2023-02-22,18.815,18.615,18.915,18.545,690167.000
2023-02-23,18.625,18.845,18.995,18.625,694633.000
2023-02-24,18.865,18.405,18.905,18.405,760295.000
2023-02-27,18.195,18.255,18.355,18.115,374362.000
2023-02-28,18.315,18.465,18.485,18.165,418406.000
2023-03-01,18.425,18.715,18.815,18.345,570920.000
2023-03-02,18.655,18.695,18.805,18.595,395712.000
2023-03-03,18.735,18.985,19.045,18.665,710361.000
2023-03-06,18.995,18.505,19.005,18.445,877479.000
2023-03-07,18.465,18.325,18.975,18.285,1201098.000
2023-03-08,18.205,18.175,18.265,18.065,676840.000
2023-03-09,18.255,18.095,18.325,18.075,442349.000
2023-03-10,17.935,17.805,17.975,17.725,587130.000
2023-03-13,17.815,17.945,17.995,17.765,446131.000
2023-03-14,17.845,17.675,17.865,17.505,568961.000
2023-03-15,17.855,17.865,17.915,17.755,495211.000
2023-03-16,17.665,17.725,17.905,17.645,472923.000
2023-03-17,17.865,17.975,18.315,17.865,881548.000
2023-03-20,17.975,17.865,18.235,17.825,651845.000
2023-03-21,17.945,18.025,18.165,17.865,438535.000
2023-03-22,18.115,18.115,18.195,17.985,539983.000
2023-03-23,17.975,18.305,18.315,17.945,509007.000
2023-03-24,18.275,18.335,18.405,18.185,428716.000
2023-03-27,18.335,18.215,18.405,18.085,513917.000
2023-03-28,18.255,18.205,18.305,18.115,380341.000
2023-03-29,18.295,18.025,18.305,17.915,481011.000
2023-03-30,17.985,18.295,18.435,17.875,576891.000
2023-03-31,18.225,18.295,18.405,18.185,390271.000
2023-04-03,18.295,18.815,18.865,18.285,1285585.000
2023-04-04,18.815,18.885,18.965,18.715,992536.000
2023-04-06,18.865,18.705,18.895,18.625,566802.000
2023-04-07,18.715,18.985,19.165,18.645,789999.000
2023-04-10,19.135,18.935,19.275,18.865,849665.000
2023-04-11,19.065,19.155,19.525,19.055,1161390.000
2023-04-12,19.155,19.155,19.295,19.045,612833.000
