date,open,close,high,low,volume
2023-01-03,37.481,38.041,38.151,36.951,602304.000
2023-01-04,38.191,39.421,39.521,38.191,869496.000
2023-01-05,40.091,39.821,40.391,39.391,737048.000
2023-01-06,40.391,40.631,40.721,39.941,780346.000
2023-01-09,40.891,41.801,41.841,40.591,881857.000
2023-01-10,41.791,40.101,41.801,40.031,837949.000
2023-01-11,40.391,41.591,41.891,40.331,966895.000
2023-01-12,41.791,41.801,42.001,41.321,600256.000
2023-01-13,42.091,43.241,43.241,41.941,896257.000
2023-01-16,43.411,42.981,44.371,42.381,1229794.000
2023-01-17,42.851,42.391,42.961,41.891,698873.000
2023-01-18,42.391,42.441,42.761,42.051,419603.000
2023-01-19,42.291,42.701,42.761,42.041,510461.000
2023-01-20,42.991,42.991,43.131,42.391,497069.000
2023-01-30,44.481,42.371,44.491,42.371,857579.000
2023-01-31,42.651,41.871,43.171,41.741,612418.000
2023-02-01,42.441,42.241,42.641,41.301,565301.000
2023-02-02,42.491,41.721,42.491,41.291,636217.000
2023-02-03,41.391,40.491,41.441,39.791,927310.000
2023-02-06,39.691,39.051,39.751,38.611,921595.000
2023-02-07,39.391,39.591,39.731,39.091,444363.000
2023-02-08,39.641,39.391,40.081,39.271,347190.000
2023-02-09,39.391,40.211,40.441,39.281,564907.000
2023-02-10,40.351,40.191,40.441,39.901,309173.000
2023-02-13,40.081,40.141,40.191,39.181,457973.000
2023-02-14,40.191,40.791,40.791,40.061,370402.000
2023-02-15,40.731,39.771,40.781,39.601,461027.000
2023-02-16,39.971,40.091,40.941,39.891,576891.000
2023-02-17,40.091,39.691,40.721,39.601,417519.000
2023-02-20,39.741,40.841,40.881,39.641,664285.000
2023-02-21,40.751,40.901,41.011,40.341,426660.000
2023-02-22,40.391,40.071,40.851,40.001,446046.000
2023-02-23,39.891,39.871,40.591,39.701,385254.000
2023-02-24,39.781,39.091,39.901,39.001,446548.000
2023-02-27,38.891,38.691,39.281,38.671,467917.000
2023-02-28,38.901,39.091,39.171,38.401,380417.000
